típus;év;utas;személyzet;utazósebesség;felszállótömeg;fesztáv
Airbus A300;1968;336;3;911;142;14711.107
Airbus A310;1968;218;2;950;150;14399.432
Airbus A320;1968;179;2;950;66;11125.193
Antonov An-24;1968;50;5;450;21;957.99365
BAC VC-10;1968;180;5;915;152;1400.9016
BAe (HS) 748;1968;58;2;452;21;10249.22
BAe /BAC/ One-Eleven 475;1968;119;2;742;44;935.028
BAe 146;1968;111;2;709;42;938.30884
Boeing 707;1968;219;3;866;151;14573.314
Boeing 727;1968;189;3;953;83;10800.394
Boeing 737;1968;149;2;856;52;9301.068
Boeing 747;1968;516;3;955;322;19566.691
Concorde;1968;144;3;2179;185;8385.725
DHC-5 Buffalo;1968;40;3;467;22;9599.621
DHC-6 Twin Otter;1968;20;2;338;5;6499.265
DHC-7 Dash 7;1968;54;2;420;21;9301.068
DHC-8 Dash 8;1968;40;2;497;14;8500.553
Dornier 228;1968;19;2;428;6;5567.5176
Fokker F27 Friendship;1968;52;2;480;20;95.1432
Fokker F28 Fellowship;1968;85;3;843;33;8224.966
Iljusin Il-18 Moszkva;1968;85;4;675;64;1177.8073
Iljusin Il-62;1968;186;5;820;162;1417.3057
Iljusin Il-86;1968;350;5;950;206;15767.525
Jakovlev Jak-40;1968;32;3;550;16;82.020004
Jakovlev Jak-42;1968;120;2;810;54;11443.431
Lockheed L-1011 Tristar;1968;400;3;964;195;15531.308
McDonnell Douglas DC-8;1968;251;5;965;251;1505.8872
McDonnell Douglas DC-9;1968;172;3;907;54;9340.4375
McDonnell Douglas DC-10;1968;345;5;940;199;15531.308
Tupoljev Tu-134;1968;80;3;870;47;9517.602
Tupoljev Tu-144;1968;140;2;2500;180;944.8704
